#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  49.8000000    1.5991201852e+01    1.5991201852e+01    1.9628951526e+01    1.5994206400e+01    1.5994206400e+01    1.2402064728e+01
  50.0000000    1.5991144869e+01    1.5991144869e+01    1.9628870576e+01    1.5994089397e+01    1.5994089397e+01    1.2402395132e+01
  50.2000000    1.5991080697e+01    1.5991080697e+01    1.9628790895e+01    1.5993973630e+01    1.5993973630e+01    1.2402723197e+01
  50.4000000    1.5991009208e+01    1.5991009208e+01    1.9628710679e+01    1.5993859866e+01    1.5993859866e+01    1.2403046676e+01
  50.6000000    1.5990930810e+01    1.5990930810e+01    1.9628628627e+01    1.5993748796e+01    1.5993748796e+01    1.2403363919e+01
  50.8000000    1.5990846337e+01    1.5990846337e+01    1.9628544071e+01    1.5993640998e+01    1.5993640998e+01    1.2403673941e+01
  51.0000000    1.5990756915e+01    1.5990756915e+01    1.9628457019e+01    1.5993536901e+01    1.5993536901e+01    1.2403976402e+01
  51.2000000    1.5990663811e+01    1.5990663811e+01    1.9628368135e+01    1.5993436751e+01    1.5993436751e+01    1.2404271519e+01
  51.4000000    1.5990568282e+01    1.5990568282e+01    1.9628278641e+01    1.5993340579e+01    1.5993340579e+01    1.2404559912e+01
  51.6000000    1.5990471445e+01    1.5990471445e+01    1.9628190168e+01    1.5993248187e+01    1.5993248187e+01    1.2404842418e+01
  51.8000000    1.5990374171e+01    1.5990374171e+01    1.9628104574e+01    1.5993159144e+01    1.5993159144e+01    1.2405119898e+01
  52.0000000    1.5990277010e+01    1.5990277010e+01    1.9628023758e+01    1.5993072810e+01    1.5993072810e+01    1.2405393051e+01
  52.2000000    1.5990180160e+01    1.5990180160e+01    1.9627949480e+01    1.5992988371e+01    1.5992988371e+01    1.2405662279e+01
  52.4000000    1.5990083473e+01    1.5990083473e+01    1.9627883220e+01    1.5992904889e+01    1.5992904889e+01    1.2405927592e+01
  52.6000000    1.5989986500e+01    1.5989986500e+01    1.9627826080e+01    1.5992821368e+01    1.5992821368e+01    1.2406188582e+01
  52.8000000    1.5989888568e+01    1.5989888568e+01    1.9627778736e+01    1.5992736813e+01    1.5992736813e+01    1.2406444468e+01
  53.0000000    1.5989788875e+01    1.5989788875e+01    1.9627741439e+01    1.5992650291e+01    1.5992650291e+01    1.2406694179e+01
  53.2000000    1.5989686600e+01    1.5989686600e+01    1.9627714052e+01    1.5992560976e+01    1.5992560976e+01    1.2406936492e+01
  53.4000000    1.5989581012e+01    1.5989581012e+01    1.9627696118e+01    1.5992468193e+01    1.5992468193e+01    1.2407170183e+01
  53.6000000    1.5989471557e+01    1.5989471557e+01    1.9627686944e+01    1.5992371432e+01    1.5992371432e+01    1.2407394191e+01
  53.8000000    1.5989357932e+01    1.5989357932e+01    1.9627685677e+01    1.5992270363e+01    1.5992270363e+01    1.2407607754e+01
  54.0000000    1.5989240122e+01    1.5989240122e+01    1.9627691377e+01    1.5992164836e+01    1.5992164836e+01    1.2407810522e+01
  54.2000000    1.5989118407e+01    1.5989118407e+01    1.9627703067e+01    1.5992054867e+01    1.5992054867e+01    1.2408002620e+01
  54.4000000    1.5988993338e+01    1.5988993338e+01    1.9627719767e+01    1.5991940636e+01    1.5991940636e+01    1.2408184672e+01
  54.6000000    1.5988865675e+01    1.5988865675e+01    1.9627740506e+01    1.5991822471e+01    1.5991822471e+01    1.2408357771e+01
  54.8000000    1.5988736318e+01    1.5988736318e+01    1.9627764317e+01    1.5991700836e+01    1.5991700836e+01    1.2408523414e+01
  55.0000000    1.5988606216e+01    1.5988606216e+01    1.9627790232e+01    1.5991576318e+01    1.5991576318e+01    1.2408683408e+01
  55.2000000    1.5988476278e+01    1.5988476278e+01    1.9627817268e+01    1.5991449615e+01    1.5991449615e+01    1.2408839756e+01
  55.4000000    1.5988347289e+01    1.5988347289e+01    1.9627844423e+01    1.5991321510e+01    1.5991321510e+01    1.2408994547e+01
  55.6000000    1.5988219849e+01    1.5988219849e+01    1.9627870678e+01    1.5991192847e+01    1.5991192847e+01    1.2409149844e+01
  55.8000000    1.5988094326e+01    1.5988094326e+01    1.9627895019e+01    1.5991064497e+01    1.5991064497e+01    1.2409307602e+01
  56.0000000    1.5987970836e+01    1.5987970836e+01    1.9627916455e+01    1.5990937310e+01    1.5990937310e+01    1.2409469595e+01
  56.2000000    1.5987849249e+01    1.5987849249e+01    1.9627934065e+01    1.5990812074e+01    1.5990812074e+01    1.2409637373e+01
  56.4000000    1.5987729215e+01    1.5987729215e+01    1.9627947034e+01    1.5990689458e+01    1.5990689458e+01    1.2409812241e+01
  56.6000000    1.5987610206e+01    1.5987610206e+01    1.9627954702e+01    1.5990569968e+01    1.5990569968e+01    1.2409995250e+01
  56.8000000    1.5987491572e+01    1.5987491572e+01    1.9627956600e+01    1.5990453907e+01    1.5990453907e+01    1.2410187201e+01
  57.0000000    1.5987372603e+01    1.5987372603e+01    1.9627952492e+01    1.5990341347e+01    1.5990341347e+01    1.2410388647e+01
  57.2000000    1.5987252588e+01    1.5987252588e+01    1.9627942396e+01    1.5990232119e+01    1.5990232119e+01    1.2410599905e+01
  57.4000000    1.5987130871e+01    1.5987130871e+01    1.9627926596e+01    1.5990125819e+01    1.5990125819e+01    1.2410821052e+01
  57.6000000    1.5987006895e+01    1.5987006895e+01    1.9627905649e+01    1.5990021829e+01    1.5990021829e+01    1.2411051922e+01
  57.8000000    1.5986880241e+01    1.5986880241e+01    1.9627880367e+01    1.5989919365e+01    1.5989919365e+01    1.2411292097e+01
  58.0000000    1.5986750644e+01    1.5986750644e+01    1.9627851795e+01    1.5989817520e+01    1.5989817520e+01    1.2411540898e+01
  58.2000000    1.5986618011e+01    1.5986618011e+01    1.9627821171e+01    1.5989715333e+01    1.5989715333e+01    1.2411797376e+01
  58.4000000    1.5986482408e+01    1.5986482408e+01    1.9627789883e+01    1.5989611843e+01    1.5989611843e+01    1.2412060318e+01
  58.6000000    1.5986344059e+01    1.5986344059e+01    1.9627759406e+01    1.5989506155e+01    1.5989506155e+01    1.2412328256e+01
  58.8000000    1.5986203316e+01    1.5986203316e+01    1.9627731240e+01    1.5989397485e+01    1.5989397485e+01    1.2412599498e+01
  59.0000000    1.5986060636e+01    1.5986060636e+01    1.9627706849e+01    1.5989285206e+01    1.5989285206e+01    1.2412872170e+01
  59.2000000    1.5985916547e+01    1.5985916547e+01    1.9627687587e+01    1.5989168871e+01    1.5989168871e+01    1.2413144271e+01
  59.4000000    1.5985771616e+01    1.5985771616e+01    1.9627674644e+01    1.5989048229e+01    1.5989048229e+01    1.2413413743e+01
  59.6000000    1.5985626411e+01    1.5985626411e+01    1.9627668994e+01    1.5988923221e+01    1.5988923221e+01    1.2413678537e+01
  59.8000000    1.5985481471e+01    1.5985481471e+01    1.9627671356e+01    1.5988793968e+01    1.5988793968e+01    1.2413936687e+01
  60.0000000    1.5985337273e+01    1.5985337273e+01    1.9627682175e+01    1.5988660749e+01    1.5988660749e+01    1.2414186378e+01
  60.2000000    1.5985194212e+01    1.5985194212e+01    1.9627701625e+01    1.5988523972e+01    1.5988523972e+01    1.2414425994e+01
  60.4000000    1.5985052578e+01    1.5985052578e+01    1.9627729620e+01    1.5988384134e+01    1.5988384134e+01    1.2414654167e+01
  60.6000000    1.5984912548e+01    1.5984912548e+01    1.9627765851e+01    1.5988241794e+01    1.5988241794e+01    1.2414869800e+01
  60.8000000    1.5984774187e+01    1.5984774187e+01    1.9627809837e+01    1.5988097531e+01    1.5988097531e+01    1.2415072084e+01
